frequenza,Vpp IN,V/div,Vpp OUT,V/div,A[dB]
0.01,1.01,0.2,7.48,1,17.39160448
0.05,1.01,0.2,7.44,1,17.34503124
0.1,1.01,0.2,7.44,1,17.34503124
0.25,1.01,0.2,7.4,1,17.29820692
0.5,1.01,0.2,7.4,1,17.29820692
1,1.01,0.2,7.32,1,17.20379415
2.5,1.01,0.2,7.04,1,16.86502571
5,1.01,0.2,6.16,1,15.70518677
10,1.01,0.2,4.12,1,12.21151685
25,1.01,0.2,1.22,0.2,1.640769138
50,1.01,0.2,0.352,0.1,-9.155574206
100,1.01,0.2,0.0904,0.02,-20.96305887
250,1.01,0.2,0.0152,0.02,-36.44955572
500,1.01,0.2,0.008,0.02,-42.02462774
1000,1.01,0.2,0.0064,0.02,-43.962828
